input,response
I feel sad,I'm really sorry you're feeling sad. I'm here for you 💙
I am stressed,That sounds tough. Do you want to talk about what's stressing you?
I feel lonely,You're not alone. I'm here with you 🤍
I am happy,That's great to hear! 😊 What made you happy today?
I feel anxious,It's okay to feel anxious sometimes. Take a deep breath 💙
I am tired,You might need some rest. Take care of yourself 🤍
I feel depressed,I'm really sorry you're feeling this way. You can talk to me 💙
I have no friends,That must feel really hard. I'm here to listen 🤍
I feel angry,It's okay to feel angry. Want to share what's bothering you?
I feel lost,It's okay to feel lost sometimes. We can figure things out together 💙
